Sommario profitti e perdite Realizzati e Non realizzati,Header,Tipo di attivo,Simbolo,Agg. costo,Realizzato Profitto S/T,Realizzato Perdita S/T,Realizzato Profitto L/T,Realizzato Perdita L/T,Realizzato Totale,Non realizzato Profitto S/T,Non realizzato Perdita S/T,Non realizzato Profitto L/T,Non realizzato Perdita L/T,Non realizzato Totale,Totale,Codice
Sommario profitti e perdite Realizzati e Non realizzati,Data,Azioni,AAPL,0,0,-2408.765182289,0,0,-2408.765182289,0,0,0,0,0,-2408.765182289,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Azioni,INTC,0,0,-49.028169034,0,0,-49.028169034,0,0,0,0,0,-49.028169034,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Azioni,KO,0,0,-87.646749116,0,0,-87.646749116,0,0,0,0,0,-87.646749116,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 17JUN22 120 P,0,0,-8.43147012,0,0,-8.43147012,0,0,0,0,0,-8.43147012,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 17JUN22 127 P,0,53.850366851,0,0,0,53.850366851,0,0,0,0,0,53.850366851,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 17JUN22 131.0 P,0,0,-11.295198032,0,0,-11.295198032,0,0,0,0,0,-11.295198032,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 17JUN22 132.0 P,0,90.836232178,0,0,0,90.836232178,0,0,0,0,0,90.836232178,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 17JUN22 138.0 P,0,20.24124267,0,0,0,20.24124267,0,0,0,0,0,20.24124267,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 17JUN22 141.0 P,0,28.429063303,0,0,0,28.429063303,0,0,0,0,0,28.429063303,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 17JUN22 142 P,0,0,-426.464805588,0,0,-426.464805588,0,0,0,0,0,-426.464805588,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 24JUN22 120 P,0,0,-3.297756279,0,0,-3.297756279,0,0,0,0,0,-3.297756279,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 24JUN22 125 P,0,5.628845126,0,0,0,5.628845126,0,0,0,0,0,5.628845126,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 24JUN22 126 P,0,0,-20.645698818,0,0,-20.645698818,0,0,0,0,0,-20.645698818,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 24JUN22 130 P,0,0,-8.012118418,0,0,-8.012118418,0,0,0,0,0,-8.012118418,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 24JUN22 131 P,0,57.918174189,0,0,0,57.918174189,0,0,0,0,0,57.918174189,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 24JUN22 135 P,0,83.9894561,0,0,0,83.9894561,0,0,0,0,0,83.9894561,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 24JUN22 141 C,0,24.041032252,0,0,0,24.041032252,0,0,0,0,0,24.041032252,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 24JUN22 146 C,0,0,-5.120663218,0,0,-5.120663218,0,0,0,0,0,-5.120663218,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 08JUL22 131 P,0,0,-15.226068954,0,0,-15.226068954,0,0,0,0,0,-15.226068954,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 08JUL22 135 P,0,33.924000057,0,0,0,33.924000057,0,0,0,0,0,33.924000057,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 08JUL22 140 P,0,0,-46.747914868,0,0,-46.747914868,0,0,0,0,0,-46.747914868,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 08JUL22 143 P,0,143.193329414,0,0,0,143.193329414,0,0,0,0,0,143.193329414,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 08JUL22 145 C,0,0,-345.908959452,0,0,-345.908959452,0,0,0,0,0,-345.908959452,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 08JUL22 148 C,0,75.189906732,0,0,0,75.189906732,0,0,0,0,0,75.189906732,
