Tipo di attivo,Simbolo,Agg. costo,Realizzato Profitto S/T,Realizzato Perdita S/T,Realizzato Profitto L/T,Realizzato Perdita L/T,Realizzato Totale,Non realizzato Profitto S/T,Non realizzato Perdita S/T,Non realizzato Profitto L/T,Non realizzato Perdita L/T,Non realizzato Totale,Totale,Codice
Opzioni su indici e su azioni,AAPL 17FEB23 140 C,0,0.0,-1178.73436205,0,0,-1178.73436205,0.0,0.0,0,0,0.0,-1178.73436205,
Opzioni su indici e su azioni,AAPL 17MAR23 144 C,0,0.0,-1063.76091636,0,0,-1063.76091636,0.0,0.0,0,0,0.0,-1063.76091636,
Opzioni su indici e su azioni,AAPL 17MAR23 155 P,0,0.0,-1076.91731727,0,0,-1076.91731727,0.0,0.0,0,0,0.0,-1076.91731727,
Opzioni su indici e su azioni,AAPL 06APR23 152.5 C,0,0.0,-1014.49101403,0,0,-1014.49101403,0.0,0.0,0,0,0.0,-1014.49101403,
Opzioni su indici e su azioni,AXP 21APR23 175 P,0,0.0,-2781.56625213,0,0,-2781.56625213,0.0,0.0,0,0,0.0,-2781.56625213,
Opzioni su indici e su azioni,AXP 21JUL23 155 C,0,0.0,-1233.82117806,0,0,-1233.82117806,0.0,0.0,0,0,0.0,-1233.82117806,
Opzioni su indici e su azioni,CVX 16JUN23 165 P,0,0.0,-1523.80409354,0,0,-1523.80409354,0.0,0.0,0,0,0.0,-1523.80409354,
Opzioni su indici e su azioni,JNJ 17MAR23 165 P,0,0.0,-1264.85277429,0,0,-1264.85277429,0.0,0.0,0,0,0.0,-1264.85277429,
Opzioni su indici e su azioni,MSFT 21APR23 260 C,0,0.0,-4797.58399836,0,0,-4797.58399836,0.0,0.0,0,0,0.0,-4797.58399836,
Opzioni su indici e su azioni,MSFT 19MAY23 280 C,0,0.0,-3400.85203799,0,0,-3400.85203799,0.0,0.0,0,0,0.0,-3400.85203799,
Opzioni su indici e su azioni,MSFT 16JUN23 280 C,0,0.0,-1815.91763447,0,0,-1815.91763447,0.0,0.0,0,0,0.0,-1815.91763447,
Opzioni su indici e su azioni,MSFT 21JUL23 290 C,0,0.0,-2911.73451706,0,0,-2911.73451706,0.0,0.0,0,0,0.0,-2911.73451706,
Opzioni su indici e su azioni,TXN 16JUN23 170 C,0,0.0,-1101.84814033,0,0,-1101.84814033,0.0,0.0,0,0,0.0,-1101.84814033,
Totale,,0,50737.61748712,-41969.54852396,0,0,8768.06896316,3561.459038079,-3942.550445379,0,0,-381.0914073,8386.97755586,
Forex,USD,0,1218.404535,-3110.876017,0,0,-1892.471482,14.738895,-630.615890827,0,0,-615.876995827,-2508.348477827,
Totale,,0,1218.404535,-3110.876017,0,0,-1892.471482,14.738895,-630.615890827,0,0,-615.876995827,-2508.348477827,
Totale (tutti i prodotti),,0,51956.02202212,-45080.42454096,0,0,6875.59748116,3576.197933079,-4573.166336206,0,0,-996.968403127,5878.629078033,
