Drill Down,Action,Quantity,Fin Instrument,Price,Currency,Time,Date,Order Ref.,Commission,Realized P&L,
,BOT,1,MRK Mar17'23 110 CALL,4.56,USD,16:19:52,20230111,OptTrader,1.04,227.33,
,SLD,1,MRK Mar17'23 105 CALL,7.83,USD,16:25:09,20230111,OptTrader,0.81,,
,BOT,3,CVX Jan20'23 185 CALL,0.35,USD,16:51:27,20230111,OptTrader,1.31,215.53,
,SLD,2,CVX Mar17'23 195 CALL,1.96,USD,16:52:48,20230111,OptTrader,0.89,,
,BOT,1,CVX Mar17'23 220 CALL,0.16,USD,16:53:44,20230111,OptTrader,1.04,,
,BOT,2,CVX Feb17'23 170 PUT,4.46,USD,16:54:49,20230111,OptTrader,0.88,124.27,
,SLD,2,CVX Mar17'23 160 PUT,3.30,USD,16:56:11,20230111,OptTrader,0.90,,
,BOT,1,CVX Mar17'23 220 CALL,0.15,USD,16:56:48,20230111,OptTrader,1.52,,
,BOT,1,CVX Mar17'23 160 PUT,3.30,USD,17:16:33,20230111,OptTrader,1.50,-1.95,
,BOT,1,CVX Mar17'23 160 PUT,3.30,USD,17:16:33,20230111,OptTrader,0.80,-1.25,
,SLD,2,CVX Mar17'23 155 PUT,2.33,USD,17:18:16,20230111,OptTrader,1.37,,
